Name,College,POS,Height (in),Weight (lbs),40 Yrd Dash,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Drafted?
Brandon Washington,Miami,OG,75,320,5.14,28,25,101,4.87,8.22,1
Corey White,Samford,SS,73,206,4.53,15,37.5,126,4.22,6.72,1
Jordan White,Western Michigan,WR,73,208,4.63,14,35,119,4.13,6.84,1
Tahir Whitehead,Temple,OLB,73,233,4.62,21,37,124,4.37,7.14,1
Kyle Wilber,Wake Forest,OLB,76,249,4.73,25,33.5,117,4.31,7.11,1
Billy Winn,Boise State,DE,76,294,4.86,24,27,107,4.44,7.37,1
Derek Wolfe,Cincinnati,DT,77,295,4.93,33,33.5,108,4.44,7.26,1
Jarius Wright,Arkansas,WR,70,182,4.39,11,38,120,4.03,6.93,1
Kevin Zeitler,Wisconsin,OG,76,314,5.32,32,29,101,4.61,7.77,1
Sam Acho,Texas,OLB,74,262,4.67,23,33.5,112,4.32,6.69,1
Olufemi Ajiboye,South Carolina,DT,73,297,5.31,23,24,91,4.71,7.72,0
Anthony Allen,Georgia Tech,RB,73,228,4.56,24,41.5,120,4.06,6.79,1
Cortez Allen,Citadel,CB,73,197,4.5,18,35.5,129,4.01,6.76,1
Prince Amukamara,Nebraska,CB,73,206,4.38,15,38,128,4.08,6.97,1
David Arkin,Missouri State,OG,77,300,5.31,25,29,103,4.63,7.6,1
Matt Asiata,Utah,RB,71,229,4.77,22,30,104,4.37,7.09,0
Marvin Austin,North Carolina,DT,74,309,4.84,38,30.5,112,4.4,7.33,1
Akeem Ayers,UCLA,OLB,75,254,4.81,18,31,116,4.28,7.49,1
Allen Bailey,Miami,DE,75,285,4.71,27,36.5,117,4.56,7.43,1
Brandon Bair,Oregon,DE,78,276,4.92,26,28,114,4.37,7.07,0
Jon Baldwin,Pittsburgh,WR,76,228,4.49,20,42,129,4.34,7.07,0
Joseph Barksdale,Louisiana State,OT,77,325,5.31,29,29,103,4.75,8.27,1
Ryan Bartholomew,Syracuse,C,73,302,4.93,34,26.5,92,4.62,7.62,0
Jeremy Beal,Oklahoma,ILB,74,262,5.14,22,28.5,106,4.46,7.2,1
Nick Bellore,Central Michigan,ILB,73,245,4.84,23,32.5,109,4,6.98,0
Damien Berry,Miami,RB,70,211,4.58,23,33.5,120,4.12,7,0
Armon Binns,Cincinnati,WR,75,209,4.5,13,31.5,118,4.31,6.86,0
Ahmad Black,Florida,SS,70,184,4.7,18,35.5,119,4.2,6.85,1
Clint Boling,Georgia,OG,77,308,5.28,28,31,102,4.64,7.66,1
Allen Bradford,Southern California,RB,71,242,4.53,28,29,113,4.39,6.97,1
James Brewer,Indiana,OT,78,323,5.21,25,26,100,4.81,7.84,1
Curtis Brown,Texas,CB,73,185,4.51,10,39.5,128,4,6.59,1
DeAndre Brown,Southern Mississippi,WR,78,233,4.59,20,29,117,4.33,6.93,0
Jalil Brown,Colorado,CB,73,204,4.52,24,35.5,116,4.25,6.85,1
Vincent Brown,San Diego State,WR,71,187,4.68,12,33.5,121,4.25,6.64,1
Brandon Burton,Utah,CB,73,190,4.5,18,32,118,4.07,6.93,1
Stephen Burton,West Texas A&M,WR,73,221,4.5,19,34.5,117,4.31,7.04,1
Jordan Cameron,Southern California,TE,77,254,4.53,23,37.5,119,4.03,6.82,1
Marcus Cannon,Texas Christian,OT,77,358,5.26,33,30.5,105,4.97,8.07,1
Rashad Carmichael,Virginia Tech,CB,70,192,4.53,13,31,116,4.06,6.69,1
Chris Carter,Fresno State,OLB,73,248,4.58,27,36,114,4.34,6.88,1
Delone Carter,Syracuse,RB,69,222,4.54,27,37,120,4.07,6.92,1
Quinton Carter,Oklahoma,FS,73,208,4.57,23,34.5,121,4.06,7.05,1
Jurrell Casey,Southern California,DT,73,300,5.04,26,27.5,101,4.78,7.51,1
Anthony Castonzo,Boston College,OT,79,311,5.21,28,29.5,105,4.4,7.25,1
Shaun Chapas,Georgia,FB,74,247,4.87,23,35.5,116,4.4,7.13,1
Ugo Chinasa,Oklahoma State,DE,77,264,4.63,22,28,117,4.39,7.07,0
Charles Clay,Tulsa,FB,75,245,4.69,18,33.5,118,4.15,7.07,1
Randall Cobb,Kentucky,WR,70,191,4.46,16,33.5,115,4.34,7.08,1
Chris Conte,California,FS,74,197,4.52,18,35.5,127,4.19,7.01,1
Ray Dominguez,Arkansas,OG,76,334,5.45,21,27.5,90,4.9,7.74,0
Shaun Draughn,North Carolina,RB,71,213,4.73,21,34,118,4.2,7.15,0
Ricky Elmore,Arizona,DE,77,255,4.88,26,31.5,106,4.32,7.25,1
Darren Evans,Virginia Tech,RB,73,227,4.56,26,35,111,4.46,6.96,0
Mario Fannin,Auburn,RB,70,231,4.37,21,37.5,115,4.21,6.99,0
Mason Foster,Washington,OLB,73,245,4.75,22,31,110,4.45,7.14,1
Sione Fua,Stanford,DT,74,308,5.28,30,24,101,4.54,7.54,1
Brandon Fusco,Slippery Rock,C,76,306,5.18,26,28.5,108,4.43,7.29,1
Charlie Gantt,Michigan State,TE,76,252,4.85,27,30.5,112,4.4,7.15,0
Marcus Gilchrist,Clemson,CB,70,195,4.45,26,38.5,119,4.12,6.81,1
Cameron Graham,Louisville,TE,75,244,5,18,31,105,4.51,7.19,0
Adam Grant,Arizona,OT,78,325,5.54,25,26.5,99,5,8.25,0
John Graves,Virginia Tech,DT,75,286,5.09,29,28.5,114,4.49,7.49,0
A.J. Green,Georgia,WR,76,211,4.48,18,34.5,126,4.21,6.91,0
Alex Green,Hawaii,RB,73,225,4.45,20,34,114,4.15,6.91,1
Virgil Green,Nevada,TE,75,249,4.54,23,42.5,130,4.4,6.9,1
Tori Gurley,South Carolina,WR,76,216,4.53,15,33.5,118,4.25,7.05,0
Eric Hagg,Nebraska,FS,73,209,4.62,18,34.5,121,4.19,6.73,1
Chris Hairston,Clemson,OT,78,326,5.38,33,29,96,4.7,7.9,1
Leonard Hankerson,Miami,WR,74,209,4.4,14,36,117,4.21,6.94,1
Jamie Harper,Clemson,RB,71,233,4.53,24,36.5,120,4.39,7.16,1
Brandon Harris,Miami,CB,70,191,4.46,13,35.5,113,4.12,6.77,1
Dwayne Harris,East Carolina,WR,70,203,4.53,10,34,111,4.21,6.77,1
Roy Helu,Nebraska,RB,73,219,4.4,11,36.5,119,4.01,6.67,1
Ricky Henry,Nebraska,OG,75,308,5.68,20,24,90,4.68,7.98,0
Sandon Herzlich,Boston College,OLB,76,244,4.91,29,32.5,112,4.46,7.32,0
Kyle Hix,Texas,OT,79,319,5.44,24,32,104,4.78,7.77,0
Doug Hogue,Syracuse,OLB,75,235,4.62,18,36,121,4.57,7.09,1
Andre Holmes,Hillsdale,WR,76,210,4.51,11,35,130,4.31,6.69,0
Ross Homan,Ohio State,OLB,73,240,4.66,32,35.5,111,4.34,7.21,1
Davon House,New Mexico State,CB,73,200,4.44,14,33.5,109,4.12,6.65,1
Rob Housler,Florida Atlantic,TE,77,248,4.46,22,37,117,4.21,6.9,1
Justin Houston,Georgia,OLB,75,270,4.62,30,36.5,125,4.37,6.95,1
Rodney Hudson,Florida State,C,74,299,5.27,27,25.5,95,4.96,8.03,1
Kevin Hughes,Southeast Louisiana,OT,76,302,5.31,22,29.5,95,4.97,8.29,0
Kendall Hunter,Oklahoma State,RB,67,199,4.46,24,35,122,4.21,6.74,1
Mark Ingram,Alabama,RB,69,215,4.62,21,31.5,113,4.62,7.13,1
Andrew Jackson,Fresno State,OG,77,299,5.27,25,28,98,4.65,7.55,1
Jaiquawn Jarrett,Temple,FS,73,198,4.62,14,30,113,4.14,6.95,1
Lestar Jean,Florida Atlantic,WR,75,215,4.61,14,37.5,113,4.43,7.45,0
Jarvis Jenkins,Clemson,DT,76,310,5.03,17,26.5,98,4.83,7.42,1
Jerrel Jernigan,Troy,WR,69,185,4.46,11,37.5,117,4.25,7.07,1
Greg Jones,Michigan State,ILB,73,242,4.75,21,31.5,117,4.27,7.21,1
Cameron Jordan,California,DE,76,287,4.74,25,31,117,4.37,7.07,1
Lance Kendricks,Wisconsin,TE,75,243,4.65,25,34.5,122,4.15,6.94,1
Shiloh Keo,Idaho,SS,71,219,4.74,24,32.5,110,3.9,6.55,1
Patrick Kerrigan,Purdue,DE,76,267,4.67,31,33.5,122,4.39,7.18,0
Daniel Kilgore,Appalachian State (NC),OG,75,308,5.28,23,32.5,105,4.68,7.59,1
Jarriel King,South Carolina,OT,77,317,5.03,23,30,114,4.77,7.6,0
Joe Lefeged,Rutgers,SS,73,210,4.42,18,36.5,122,4.13,6.82,0
Mark LeGree,Appalachian State (NC),FS,73,210,4.49,21,31,116,4.09,6.9,1
Orie Lemon,Oklahoma State,ILB,73,242,4.87,27,30,113,4.4,7.45,0
Mikel Leshoure,Illinois,RB,73,227,4.56,21,38,122,4.4,6.82,1
Dion Lewis,Pittsburgh,RB,67,193,4.56,17,34.5,112,4.18,6.9,1
Alex Linnenkohl,Oregon State,C,74,304,5.36,24,26.5,89,4.62,7.67,0
Greg Little,North Carolina,WR,75,231,4.51,27,40.5,129,4.21,6.8,1
Corey Liuget,Illinois,DT,74,298,4.97,27,27.5,102,4.68,7.48,1
Greg Lloyd,Connecticut,ILB,73,246,4.8,22,32,109,4.46,7.17,1
Derrick Locke,Kentucky,RB,68,188,4.37,16,37.5,118,4.15,6.98,0
DeMarcus Love,Arkansas,OT,76,315,5.18,27,26.5,97,4.84,7.84,1
Owen Marecic,Stanford,FB,73,248,4.87,22,28.5,102,4.56,7.1,1
Curtis Marsh,Utah State,CB,73,197,4.42,12,37.5,123,4.07,6.87,1
Cliff Matthews,South Carolina,DE,76,257,4.81,17,32,112,4.37,7.21,1
Colin McCarthy,Miami,ILB,73,238,4.59,23,36.5,119,4.2,6.93,1
Terrell McClain,South Florida,DT,74,297,4.98,29,28,104,4.56,7.48,1
Pernell McPhee,Mississippi State,DE,75,278,4.91,20,28.5,107,4.59,7.13,1
Bruce Miller,Central Florida,OLB,73,254,4.81,35,31,113,4.34,7.05,1
Von Miller,Texas A&M,OLB,75,246,4.42,21,37,126,4.06,6.7,1
Dontay Moch,Nevada,OLB,73,248,4.4,21,42,128,4.38,7.09,1
John Moffitt,Wisconsin,OG,76,319,5.51,23,30.5,102,4.53,7.79,1
Michael Mohamed,California,ILB,75,239,4.65,21,32,115,4,6.7,0
Denarius Moore,Tennessee,WR,73,194,4.43,13,36,118,4.15,6.78,1
Rahim Moore,UCLA,FS,73,202,4.58,11,35,115,3.96,6.98,1
Adrian Moten,Maryland,OLB,74,228,4.53,18,31,114,4.21,7.05,0
DeMarco Murray,Oklahoma,RB,73,213,4.37,21,34.5,130,4.18,7.28,1
Chris Neild,West Virginia,DT,74,319,5.06,30,29,106,4.46,7.56,1
Drake Nevis,Louisiana State,DT,73,294,5.06,31,30.5,112,4.65,7.71,1
Derek Newton,Arkansas State,OT,77,311,5,24,25.5,100,5,7.76,1
Kris O'Dowd,Southern California,C,76,304,5.12,31,32.5,105,4.59,7.67,0
Schuylar Oordt,Northern Iowa,TE,78,261,4.63,18,36,119,4.25,6.83,0
Cheta Ozougwu,Rice,DE,74,247,4.84,26,34.5,119,4.31,7.06,1
Martin Parker,Richmond,DT,74,303,4.95,22,29,104,4.57,7.56,0
Niles Paul,Nebraska,WR,73,224,4.45,24,34.5,117,4.14,6.9,1
Michael Person,Montana State,OG,77,299,5.07,21,28,108,4.5,7.44,0
Austin Pettis,Boise State,WR,75,209,4.56,14,33.5,120,3.88,6.68,1
Zach Pianalto,North Carolina,TE,75,256,4.78,22,32,108,4.41,6.85,0
Jerrell Powe,Mississippi,DT,74,335,5.25,27,25,93,5.06,8.17,1
Robert Quinn,North Carolina,DE,76,265,4.62,22,34,116,4.4,7.13,1
Brooks Reed,Arizona,OLB,75,263,4.65,30,30.5,113,4.28,7.11,1
D'Aundre Reed,Arizona,DE,76,261,4.84,30,35.5,119,4.32,7.24,1
Jah Reid,Central Florida,OT,79,327,5.32,28,29.5,111,4.65,7.73,1
Allen Reisner,Iowa,TE,74,248,4.9,14,28,108,4.59,7.31,0
Stevan Ridley,Louisiana State,RB,71,225,4.65,18,36,118,4.21,6.78,1
Justin Rogers,Richmond,CB,71,180,4.45,14,33,114,4.2,7.21,1
Brian Rolle,Ohio State,OLB,70,229,4.53,28,33,115,4.26,6.89,1
Evan Royster,Penn State,RB,73,212,4.65,20,34,113,4.18,7.07,1
Kevin Rutland,Missouri,CB,73,190,4.58,12,35.5,115,4.15,6.92,0
Brandon Saine,Ohio State,RB,71,220,4.4,22,34.5,113,4.25,6.98,0
Greg Salas,Hawaii,WR,73,210,4.53,15,37,120,4.1,6.65,1
Jock Sanders,West Virginia,WR,66,181,4.5,19,34.5,121,4.13,6.78,0
Robert Sands,West Virginia,FS,76,217,4.53,12,35,124,4.06,7.03,1
Tyler Sash,Iowa,SS,73,211,4.62,11,33,108,4.27,6.9,1
Stephen Schilling,Michigan,OG,76,308,5.18,30,25.5,98,4.62,7.73,1
Da'Rel Scott,Maryland,RB,71,211,4.4,19,34,117,4.2,7.15,1
Da'Norris Searcy,North Carolina,SS,71,223,4.55,27,33,120,4.09,6.87,1
Anthony Sherman,Connecticut,FB,70,242,4.74,32,32.5,111,4.41,7.23,1
Richard Sherman,Stanford,CB,75,195,4.54,16,38,125,4.33,6.82,1
Derek Sherrod,Mississippi State,OT,77,321,5.18,23,28,97,4.63,7.43,1
Cecil Shorts,Mount Union,WR,73,205,4.5,21,34.5,114,4.07,6.5,1
Buster Skrine,Tennessee-Chattanooga,CB,70,186,4.37,20,37,122,3.9,6.44,1
Aldon Smith,Missouri,DE,76,263,4.74,20,34,118,4.5,7.19,1
Darryl Smith,Appalachian State (NC),OLB,71,239,4.75,20,31,104,4.45,7.35,0
Jimmy Smith,Colorado,CB,74,211,4.42,24,36,123,4.06,6.93,1
Lee Smith,Marshall,TE,78,266,4.94,25,29,108,4.28,7.16,1
Torrey Smith,Maryland,WR,73,204,4.41,19,41,126,4.13,6.72,1
Nate Solder,Colorado,OT,80,319,4.96,21,32,110,4.34,7.44,1
Owen Spencer,North Carolina State,WR,74,195,4.51,6,37.5,125,4.18,6.86,0
Luke Stocker,Tennessee,TE,77,258,4.68,27,33,115,4.4,7.03,1
Jerrard Tarrant,Georgia Tech,FS,73,204,4.57,14,33,116,4.21,6.92,0
Vai Taua,Nevada,RB,70,213,4.65,20,34.5,112,4.18,6.89,0
Phil Taylor,Baylor,DT,75,334,5.09,31,29.5,100,4.77,7.75,1
Zane Taylor,Utah,C,75,309,5.52,33,25.5,104,4.77,8.15,0
James Thomas,West Virginia,OLB,73,241,4.65,23,30.5,114,4.28,7.23,0
Josh Thomas,Buffalo,CB,70,191,4.46,13,38.5,126,4.15,6.99,1
Julius Thomas,Portland State (OR),TE,77,246,4.64,16,35.5,111,4.31,6.96,1
Brandyn Thompson,Boise State,CB,69,189,4.5,13,33.5,114,4.12,6.66,1
Isaiah Thompson,Houston,OG,75,300,6,23,25,82,5.56,9.04,0
Cedric Thornton,Southern Arkansas,DT,75,309,5.25,23,27,101,4.71,7.7,0
Jordan Todman,Connecticut,RB,69,203,4.4,25,38,126,4.18,7.24,1
Julian Vandervelde,Iowa,OG,74,301,5.12,23,31,104,4.59,7.46,1
Shane Vereen,California,RB,70,210,4.49,31,34,115,4.28,6.95,1
Danny Watkins,Baylor,OG,75,310,5.36,29,26,92,4.62,7.61,1
Justin Watt,Wisconsin,DE,77,290,4.81,34,37,120,4.21,6.88,0
Ryan Whalen,Stanford,WR,73,202,4.53,18,38.5,123,4.09,6.67,1
Markus White,Florida State,DE,76,266,4.86,14,32.5,117,4.51,7.25,1
Colby Whitlock,Texas Tech,DT,74,302,5.27,25,30.5,105,4.75,7.73,0
Muhammad Wilkerson,Temple,DT,76,315,4.96,27,26,106,4.59,7.31,1
Aaron Williams,Texas,CB,73,204,4.55,18,37.5,127,4.07,6.72,1
D.J. Williams,Arkansas,TE,74,245,4.59,20,33.5,111,4.51,7.29,0
Keith Williams,Nebraska,OG,76,318,5.28,23,24.5,93,5.03,8.42,1
Marshall Williams,Wake Forest,WR,73,188,4.56,9,35.5,123,4.09,6.61,0
Nate Williams,Washington,SS,73,211,4.68,17,30.5,114,4.15,6.98,0
Ryan Williams,Virginia Tech,RB,69,212,4.59,19,40,123,4.18,6.96,1
Zach Williams,Washington State,C,75,309,5.18,28,30,103,4.62,7.54,0
Lawrence Wilson,Connecticut,OLB,73,229,4.71,24,32.5,113,4.5,7.23,1
Martez Wilson,Illinois,ILB,76,250,4.42,23,36,124,4.28,7.04,1
Ryan Winterswyk,Boise State,DE,76,268,4.96,18,30,111,4.37,7.01,0
Stefen Wisniewski,Penn State,C,75,313,5.29,30,28.5,100,4.63,7.51,1
Kenneth Wright,Mississippi State,OLB,75,246,4.75,20,32,120,4.46,7.26,0
Jimmy Young,Texas Christian,WR,73,204,4.5,19,37,115,4.18,7.08,0
Lee Ziemba,Auburn,OT,78,317,5.5,20,29,95,4.65,7.74,1
Seyi Ajirotutu,Fresno State,WR,76,204,4.6,14,36,115,4.39,7.22,0
Tyson Alualu,California,DE,75,295,4.87,21,35.5,116,4.43,7.15,1
Pat Angerer,Iowa,ILB,73,235,4.71,26,35,110,4.29,7.04,1
Lucien Antoine,Oklahoma State,SS,73,215,4.62,28,32,120,4.47,7.38,0
Larry Asante,Nebraska,SS,73,212,4.62,14,37.5,118,4.17,7,1
Geno Atkins,Georgia,DT,74,293,4.75,34,33,117,4.43,7.33,1
Kevin Basped,Nevada,DE,77,258,4.75,26,29,104,4.88,7.54,0
Chris Bell,Norfolk State (VA),WR,74,211,4.5,15,35,117,4.35,6.76,0
Eric Berry,Tennessee,FS,73,211,4.4,19,43,130,4.23,6.8,1
Jahvid Best,California,RB,70,199,4.34,18,32.5,113,4.17,6.75,1
LeGarrette Blount,Oregon,RB,73,241,4.7,18,35,117,4.49,6.85,0
Kyle Bosworth,UCLA,OLB,73,236,4.69,25,32.5,117,4.11,6.67,0
Navorro Bowman,Penn State,OLB,73,242,4.7,26,29.5,115,4.59,6.91,1
Dezmon Briscoe,Kansas,WR,74,207,4.66,9,33,115,4.57,7.1,1
Dorian Brooks,James Madison,OG,74,306,5.15,26,23,100,4.66,7.73,0
Antonio Brown,Central Michigan,WR,70,186,4.56,13,33.5,105,4.18,6.98,1
Cornelius Brown,Texas-El Paso,CB,71,198,4.59,11,31.5,118,4.24,6.87,0
Levi Brown,Troy,QB,76,229,4.93,20,31.5,106,4.43,7.07,1
Bryan Bulaga,Iowa,OT,78,314,5.2,26,27.5,98,4.75,7.7,1
Crezdon Butler,Clemson,CB,73,191,4.43,17,39.5,121,4.23,7.08,1
Bruce Campbell,Maryland,OT,79,314,4.75,34,32,101,4.69,7.58,1
Lee Campbell,Minnesota,ILB,75,247,4.88,17,34,108,4.4,7.27,0
Selvish Capers,West Virginia,OT,77,308,5.11,19,30.5,106,4.68,7.68,1
Chris Chancellor,Clemson,CB,69,177,4.49,14,34,115,4.07,6.85,0
Kam Chancellor,Virginia Tech,FS,75,231,4.62,22,32,116,4.41,7.36,1
Jamar Chaney,Mississippi State,ILB,73,242,4.54,26,39,124,4.29,6.9,1
Barry Church,Toledo,SS,74,222,4.69,19,36,121,4.17,6.65,0
Justin Cole,San Jose State,OLB,75,242,4.76,22,34.5,117,4.42,7.13,0
Harry Coleman,Louisiana State,SS,74,211,4.56,13,33,115,4.42,7.24,0
John Conner,Kentucky,FB,71,246,4.64,24,35,111,4.32,7.15,1
Kavell Conner,Clemson,OLB,73,242,4.59,24,33.5,110,4.6,7.36,1
Chris Cook,Virginia,CB,74,212,4.45,7,38,132,4.23,6.88,1
Dexter Davis,Arizona State,OLB,74,244,4.62,25,35,109,4.3,7.08,1
Chris DeGeare,Wake Forest,OG,76,325,5.12,27,32.5,103,4.9,7.84,1
Dorin Dickerson,Pittsburgh,TE,74,226,4.4,24,43.5,125,4.3,6.96,1
Ed Dickson,Oregon,TE,76,249,4.59,23,34,115,4.59,7.32,1
Anthony Dixon,Mississippi State,RB,73,233,4.67,15,33,121,4.49,7.09,1
Vladimir Ducasse,Massachusetts,OT,77,332,5.21,29,26,91,4.97,8.25,1
Carlos Dunlap,Florida,DE,78,278,4.68,21,31.5,111,4.61,7.21,1
Jonathan Dwyer,Georgia Tech,RB,71,229,4.64,15,33,107,4.67,7.56,1
Marcus Easley,Connecticut,WR,75,210,4.39,16,34,123,4.6,6.94,1
A.J. Edds,Iowa,OLB,76,246,4.62,16,33,117,4.28,7.19,0
Jacoby Ford,Clemson,WR,69,186,4.22,15,33.5,115,4.44,7,1
Dominique Franks,Oklahoma,CB,71,194,4.46,10,33.5,117,4.33,7.32,1
Junior Galette,Stillman,OLB,74,257,4.77,25,33.5,113,4.16,7.04,0
Riar Geer,Colorado,FB,75,256,5,13,33,106,4.29,7.13,0
Toby Gerhart,Stanford,RB,73,231,4.5,22,38,118,4.25,6.94,1
David Gettis,Baylor,WR,75,217,4.43,15,34.5,124,4.41,6.94,1
Brandon Ghee,Wake Forest,CB,73,192,4.37,15,37,127,4.07,6.75,1
Thaddeus Gibson,Ohio State,OLB,74,243,4.78,32,32,115,4.27,6.84,1
Travis Goethel,Arizona State,ILB,75,240,4.81,21,35,111,4.54,6.93,1
Garrett Graham,Wisconsin,TE,75,243,4.71,20,34.5,112,4.35,7.09,1
Jermaine Gresham,Oklahoma,TE,77,261,4.66,20,35,113,4.53,7.07,1
Joe Haden,Florida,CB,71,193,4.52,18,35,125,4.34,6.94,1
Montario Hardesty,Tennessee,RB,73,225,4.49,21,41,124,4.14,6.87,1
Greg Hardy,Mississippi,DE,76,281,4.82,21,35,117,4.65,7.25,1
Chris Hawkins,Louisiana State,CB,73,187,4.43,16,35,118,4.46,6.91,0
Joe Hawley,UNLV,C,75,297,5.21,35,26,105,4.73,7.5,1
Tim Hiller,Western Michigan,QB,76,229,4.97,18,32.5,118,4.54,7.1,0
Shay Hodge,Mississippi,WR,73,209,4.62,11,33.5,117,4.32,6.9,0
Trindon Holliday,Louisiana State,WR,65,166,4.21,10,42,116,4.48,6.54,1
Lamarr Houston,Texas,DT,75,305,4.84,30,33.5,114,4.71,7.61,1
Jerry Hughes,Texas Christian,OLB,74,255,4.65,26,34.5,118,4.15,6.99,1
Josh Hull,Penn State,ILB,75,237,4.93,25,32.5,115,4.07,6.86,1
Mike Iupati,Idaho,OG,77,331,5.24,27,27.5,92,4.93,7.85,1
Brian Jackson,Oklahoma,CB,73,202,4.65,20,35.5,120,4.22,6.76,0
Kareem Jackson,Alabama,CB,71,196,4.4,13,37.5,118,4.14,6.92,1
A.J. Jefferson,Fresno State,CB,73,193,4.42,7,44,126,4,6.72,0
Chad Jones,Louisiana State,SS,74,221,4.59,9,36,115,4.14,6.83,1
Donald Jones,Youngstown State (OH),WR,73,214,4.46,20,41,119,4.2,6.9,0
Reshad Jones,Georgia,SS,73,214,4.51,24,39.5,118,4.54,7.43,1
Linval Joseph,East Carolina,DT,77,328,5.09,39,30,100,4.71,8.12,1
Sergio Kindle,Texas,OLB,75,250,4.65,25,36.5,118,4.53,7.26,1
Jammie Kirlew,Indiana,DE,73,260,5.05,26,33,111,4.74,7.5,1
Keaton Kristick,Oregon State,OLB,75,234,4.7,16,34,120,4.21,6.96,0
Ted Larsen,North Carolina State,C,75,304,5.19,26,24,96,4.66,7.81,1
Shawn Lauvao,Arizona State,OG,75,315,5.22,33,26.5,101,4.51,7.56,1
Simoni Lawrence,Minnesota,OLB,73,232,4.59,21,40,123,4.43,7.3,0
Kendrick Lewis,Mississippi,FS,73,198,4.73,16,31.5,116,4.33,6.88,1
Trevard Lindley,Kentucky,CB,71,183,4.51,9,38.5,116,4.27,6.81,1
Scott Long,Louisville,WR,74,216,4.46,20,41.5,123,4.09,6.45,0
Ryan Mathews,Fresno State,RB,73,218,4.37,19,36,121,4.33,7,1
Kyle McCarthy,Notre Dame,SS,73,205,4.58,24,34,117,4.13,6.74,0
Albert McClellan,Marshall,ILB,73,247,4.75,26,36.5,119,4.21,7.24,0
Devin McCourty,Rutgers,CB,71,193,4.38,16,36,126,4.07,6.7,1
Anthony McCoy,Southern California,TE,77,259,4.71,19,35.5,113,4.57,6.99,1
Gerald McCoy,Oklahoma,DT,76,295,5.04,23,30.5,114,4.48,7.32,1
Mike McLaughlin,Boston College,ILB,73,242,4.84,29,38.5,114,4.11,6.85,0
Lonyae Miller,Fresno State,RB,73,221,4.43,26,36.5,120,4.54,7.2,0
Carlton Mitchell,South Florida,WR,75,215,4.46,16,36,122,4.55,6.96,1
Earl Mitchell,Arizona,DT,74,296,4.75,25,28.5,107,4.55,7.68,1
Arthur Moats,James Madison,OLB,73,246,4.64,24,36.5,122,4.37,7.22,1
Tony Moeaki,Iowa,TE,75,245,4.69,18,34,113,4.42,7.1,1
Joshua Moore,Kansas State,CB,71,188,4.5,2,36.5,122,4.07,6.74,1
Roddrick Muckelroy,Texas,OLB,74,246,4.68,19,31,110,4.39,7.25,1
Jerome Murphy,South Florida,CB,73,196,4.5,16,38,127,4.05,6.87,1
Mike Neal,Purdue,DT,75,294,4.87,31,33,113,4.53,7.53,1
Marshall Newhouse,Texas Christian,OG,76,319,4.99,25,25,97,4.6,7.4,1
Jared Odrick,Penn State,DT,77,304,5.03,26,29,106,4.59,7.22,1
Eric Olsen,Notre Dame,C,76,306,5.25,35,29.5,93,4.82,7.5,1
Pat Paschall,North Dakota State,RB,73,209,4.65,15,38.5,118,4.33,7.02,0
Jared Perry,Missouri,WR,73,178,4.51,11,33.5,121,4.39,6.75,0
Jason Pierre-Paul,South Florida,DE,77,270,4.71,19,30.5,115,4.67,7.18,1
Dennis Pitta,BYU,TE,77,245,4.68,27,34,113,4.17,6.72,1
Taylor Price,Ohio,WR,73,204,4.4,16,37,114,4.34,6.82,1
David Reed,Utah,WR,73,191,4.56,15,37,114,4.38,6.95,1
Andre Roberts,Citadel,WR,71,195,4.4,15,36,120,4.15,6.77,1
Myron Rolle,Florida State,SS,74,215,4.59,21,36,124,4.15,6.94,1
Jay Ross,East Carolina,DT,75,313,5.1,30,32,100,4.64,7.83,0
Rodger Saffold,Indiana,OT,77,316,5.21,27,29.5,113,4.67,7.42,1
Emmanuel Sanders,Southern Methodist,WR,71,186,4.4,12,39.5,126,4.1,6.64,1
Ricky Sapp,Clemson,OLB,76,252,4.65,23,34,114,4.41,7.29,1
George Selvie,South Florida,DE,77,252,4.93,24,30.5,109,4.63,7.48,1
Malcolm Sheppard,Arkansas,DT,74,285,5.11,19,28,100,4.78,7.81,0
Shelley Smith,Colorado State,OG,75,300,5.03,26,34,112,4.71,7.67,1
James Starks,Buffalo,RB,74,218,4.5,15,36,119,4.23,6.89,1
Ndamukong Suh,Nebraska,DT,76,307,5.03,32,35.5,105,4.44,7.21,1
Ben Tate,Auburn,RB,71,220,4.34,26,40.5,124,4.12,6.91,1
Golden Tate,Notre Dame,WR,70,199,4.42,17,35,120,4.34,7.12,1
Daniel Te'o-Nesheim,Washington,DE,76,263,4.73,29,37,121,4.18,6.91,1
Matt Tennant,Boston College,C,77,300,5.15,27,25,98,4.62,7.6,1
Cam Thomas,North Carolina,DT,76,330,5.16,31,29,102,4.78,7.68,1
Kevin Thomas,Southern California,CB,73,192,4.41,19,34.5,126,4.18,6.82,1
Manase Tonga,BYU,FB,71,245,4.84,19,32,105,4.69,7.44,0
Adrian Tracy,William & Mary,OLB,75,248,4.76,20,35.5,110,4.34,7.08,1
Nate Triplett,Minnesota,OLB,75,250,4.7,20,33,115,4.37,7.02,0
Torell Troup,Central Florida,DT,75,314,5.12,34,29,98,4.73,7.61,1
Jared Veldheer,Hillsdale,OT,80,312,5.06,32,33.5,109,4.51,7.4,1
Alterraun Verner,UCLA,CB,70,189,4.52,11,32,116,4.12,6.7,1
